rarity_full,card_count,average_gih_wr,median_gih_wr,average_gp_wr,average_iwd,average_ata,average_alsa
Mythic Rare,75,0.5618870967741936,0.5655,0.5300882352941176,4.951612903225807,4.067297297297298,3.1014666666666666
Rare,90,0.543080459770115,0.545,0.5224044943820225,3.3735632183908044,5.032444444444445,3.745
Uncommon,120,0.5427,0.5425,0.5324666666666666,1.8733333333333335,6.7405,4.929833333333334
Common,91,0.5393956043956044,0.5429999999999999,0.5332637362637362,1.176923076923077,8.471648351648351,5.982197802197803
