color_group,card_count,average_gih_wr,median_gih_wr,average_gp_wr,average_iwd,average_ata,average_alsa
Two-color,67,0.5569538461538461,0.552,0.5309545454545455,4.498461538461538,5.40910447761194,4.108955223880597
Mono-color,248,0.5450126582278481,0.546,0.5307314049586777,2.4050632911392404,6.308582995951417,4.574556451612903
Three-plus-color,15,0.537,0.5385,0.5091333333333333,3.6357142857142857,6.423333333333333,4.634666666666667
Colorless/Other,46,0.5319545454545455,0.538,0.5299111111111111,0.4340909090909091,6.8847826086956525,4.919782608695653
